"For Kimmel et al. data-set, Panther Pathway enrichment result for top 500 genes with higher pageRank in old AT2 cells ",,
Term,P-value,Genes
T cell activation Homo sapiens P00053,2.41E-07,CD86;CDC42;CD74;JUN;PTPRC;LCK;WAS;CD3G;CD247;CD3D;PIK3CG;VAV1
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031,5.31E-06,CX3CR1;JUN;JUND;ITGAL;PIK3CG;VAV1;ACTG1;RGS4;CDC42;GNA15;ACTC1;CCL7;GNG8;PTK2B;MYH11;CCR2;PF4
Integrin signalling pathway Homo sapiens P00034,0.005950115,CDC42;COL4A2;COL5A1;COL4A3;ITGAX;ITGA8;PTK2B;ITGAL;PIK3CG;ACTG1
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016,0.008055338,CDC42;ACTC1;STMN1;MYH11;TUBB4A;ACTG1
Angiogenesis Homo sapiens P00005,0.009492918,JUN;ANGPT2;GRB14;ANGPT1;PDGFA;CTNNB1;FGF1;PIK3CG;VEGFA
B cell activation Homo sapiens P00010,0.013793849,JUN;PTPRC;BLNK;PIK3CG;VAV1
Cholesterol biosynthesis Homo sapiens P00014,0.02954668,FDPS;PMVK
Huntington disease Homo sapiens P00029,0.036291006,JUN;HIP1;ACTC1;CAPNS1;TUBB4A;ARF5;ACTG1
FGF signaling pathway Homo sapiens P00021,0.037901321,FGF7;YWHAQ;FGF1;FGFR2;PIK3CG;FGF10
Axon guidance mediated by netrin Homo sapiens P00009,0.038268756,CDC42;UNC5C;PIK3CG
Endothelin signaling pathway Homo sapiens P00019,0.039651173,EDNRA;GNAS;PRKG2;PIK3CG;PRKG1
JAK/STAT signaling pathway Homo sapiens P00038,0.046541402,PTPRC;STAT4
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027,0.05004094,RGS4;GNA15;GNB4;CLTA;GNG8;RASGRP3
,,
,,
"For Kimmel et al. data-set, Panther Pathway enrichment result for top 1000 genes with higher pageRank in old AT2 cells ",,
Term,P-value,Genes
T cell activation Homo sapiens P00053,1.30E-05,CD86;CD74;JUN;WAS;CD3G;CD3D;PIK3CG;VAV1;CDC42;PTPRC;LCK;NCK2;CD28;CD247
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031,6.80E-05,CX3CR1;JUN;JUND;ARPC1B;CXCR5;PLA2G4A;ITGAL;PTGS2;PIK3CG;VAV1;ACTG1;RGS4;CDC42;PREX1;GNA15;ACTC1;CCL7;COL6A3;GNG8;PTK2B;MYH11;CCR2;PF4
Integrin signalling pathway Homo sapiens P00034,1.04E-04,ITGB4;ARPC1B;FN1;LAMC1;ITGAL;PIK3CG;ACTG1;PIK3C2B;RHOB;CDC42;COL3A1;COL4A2;COL5A1;COL4A1;COL4A3;COL5A2;ITGAX;ITGA8;COL6A3;PTK2B
Angiogenesis Homo sapiens P00005,0.001992646,JUN;ANGPT2;FZD5;ANGPT1;STAT1;PDGFA;PLA2G4A;FGF1;PIK3CG;PIK3C2B;RHOB;VEGFA;GRB14;MAPKAPK2;NCK2;CTNNB1
Ras Pathway Homo sapiens P04393,0.002169259,CDC42;TIAM1;MAPK11;JUN;RALB;STAT1;MAPKAPK2;RGL1;PIK3CG;RHOB
